geneID,description_rna,description_prot,class,condition,enriched_NS_RNA,enriched_HS_RNA,depleted_NS_RNA,depleted_HS_RNA,rna_log2FC_NS,rna_log2FC_HS,strongest_rna_log2fc,log2FC_AP_NS,log2FC_AP_HS,log2FC_PDL_NS,log2FC_PDL_HS,protein_enriched,conflict_resolved
AT1G08370,"Encodes DCP1 involved in mRNA decapping.  DCP1 forms a mRNA decapping complex with DCP2 (At5g13570) and VCS (VARICOSE) (At3g13300). However, unlike DCP2, DCP1 itself does not have mRNA decapping activity in vitro.  DCP1, DCP2 and VCS colocalize in cytoplasmic loci, which are putative Arabidopsis mRNA processing bodies.  Null mutants of DCP1, DCP2, and VCS accumulate capped mRNAs with a reduced degradation rate. These mutants also share a similar lethal phenotype at the seedling cotyledon stage, with disorganized veins, swollen root hairs, and altered epidermal cell morphology. The protein was shown by immunoprecipitation not to interact with DCP2.","DCP1:p, mRNA-decapping enzyme-like protein",1,both,True,True,False,False,3.9905635904712637,5.283337073818592,5.283337073818592,6.573647187,7.627736524,2.883485991,3.979822118,True,False
AT5G23010,"Encodes a methylthioalkylmalate synthase, catalyzes the condensation reactions of the first two rounds of methionine chain elongation in the biosynthesis of methionine-derived glucosinolates. The mRNA is cell-to-cell mobile.","MAM1:p, methylthioalkylmalate synthase 1",1,both,True,True,False,False,3.008817346080978,2.744928642407292,3.008817346080978,0.387023123,0.273018494,-4.209453366,-4.807354922,True,False
AT5G14200,"The AtIMD1 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids. Encodes methylthioalkylmalate dehydrogenase. Involved in glucosinolate biosynthesis, in methionine chain elongation. The mRNA is cell-to-cell mobile.","IMD1:p, 3-isopropylmalate dehydrogenase",1,both,True,True,False,False,2.8274586333511476,1.3716642916762973,2.8274586333511476,0.0,0.341036918,0.0,2.180572246,True,False
AT3G58990,"Small subunit, which together with IPMI SSU1, IPMISSU2 and IPMI LSU1, is a member of heterodimeric isopropylmalate isomerase (IPMI). Together with IPMI SSU3 participates in the Met chain elongation pathway.","IPMI1:p, 3-isopropylmalate dehydratase small subunit 2",1,NS,True,False,False,False,2.817674656978357,0.718076661497262,2.817674656978357,0.584962501,0.415037499,0.0,0.0,True,False
AT1G12200,Putative flavin monooxygenase.,"AT1G12200:p, Flavin-containing monooxygenase",1,both,True,True,False,False,2.793399688126006,1.9095848934389157,2.793399688126006,0.0,0.0,0.0,1.0,True,False
AT1G09590,Translation protein SH3-like family protein;(source:Araport11),"AT1G09690:p, 60S ribosomal protein L21-1",1,HS,False,True,False,False,-0.09965009947985892,2.7562428902255753,2.7562428902255753,0.0,0.0,-0.807354922,-0.906890596,True,False
AT1G68660,ClpS1 is a member of the caseionolytic proteinase S family of N-recognins. It is involved in proteolysis in the chloroplast stroma. An arginine residue (Arg50) controls low-affinity substrate binding.,"AT1G68660:p,",1,HS,False,True,False,False,-0.9030598860054067,2.6197698596464067,2.6197698596464067,0.0,0.0,-2.459431619,-2.169925001,True,False
AT3G11500,Small nuclear ribonucleoprotein family protein;(source:Araport11),"AT3G11500:p, Putative small nuclear ribonucleoprotein polypeptide ...",1,HS,False,True,False,False,-0.22126939502589404,2.6152977550310648,2.6152977550310648,-1.0,0.152003093,-0.584962501,0.415037499,True,False
AT2G47380,Cytochrome c oxidase subunit Vc family protein;(source:Araport11),"AT2G47380:p, Probable cytochrome c oxidase subunit 5C-1",1,HS,False,True,False,False,0.7223195616312006,2.574566947446946,2.574566947446946,0.0,0.0,-0.584962501,-0.584962501,True,False
AT1G74090,"encodes a desulfoglucosinolate sulfotransferase, involved in the final step of glucosinolate core structure biosynthesis. Has a broad-substrate specificity with preference with methionine-derived desulfoglucosinolates.","SOT18:p, Sulfotransferase",1,both,True,True,False,False,2.528672199139109,1.6450852510700025,2.528672199139109,0.584962501,0.222392421,-0.736965594,0.222392421,True,False
AT5G04230,"Member of Phenylalanine ammonialyase (PAL) gene family. Differs significantly from PAL1 and PAL2 and other sequenced plant PAL genes.  Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).","PAL3:p, Phenylalanine ammonia-lyase",1,both,True,True,False,False,2.4767993152040075,1.995717928767951,2.4767993152040075,1.0,0.584962501,0.584962501,0.415037499,True,False
AT4G12390,pectin methylesterase inhibitor 1;(source:Araport11),"PME1:p, Pectin methylesterase inhibitor 1",1,NS,True,False,False,False,2.4622948321590394,0.5257481771422344,2.4622948321590394,0.765534746,0.203533394,0.0,0.0,True,False
AT3G52040,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase;(source:Araport11)","AT3G52040:p,",1,NS,True,False,False,False,2.450940420361514,0.346369018616175,2.450940420361514,0.0,0.415037499,0.0,0.0,True,False
AT1G11530,"Encodes a monocysteinic thioredoxin, thioredoxin in which the second cysteine of the redox site is replaced by a serine, with low disulfide reductase but efficient disulfide isomerase activity. The mRNA is cell-to-cell mobile.","CXXS1:p, Thioredoxin-like protein CXXS1",1,HS,False,True,False,False,-0.6984557866315627,2.4424763186764276,2.4424763186764276,1.0,-0.584962501,0.0,0.0,True,False
AT1G27130,"Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002). GSTU13 acts in the pathogen triggered pathway for indole glucosinolate metabolisms that involves also PENETRATION2 myrosinase. It is likely the enzyme that conjugates GSH with unstable indol-3-ylmethyl-ITCs formed upon PEN2-mediated IG hydrolysis, particularly in the branch of this pathway in which 4-substituted IGs are processed.","GSTU13:p, Glutathione S-transferase U13",1,HS,False,True,False,False,0.4048295459870157,2.4372003284796673,2.4372003284796673,-0.584962501,-0.169925001,0.0,0.0,True,False
AT4G04614,hypothetical protein;(source:Araport11),"AT4G04614:p, At4g04614",1,HS,False,True,False,False,0.5713535324090537,2.430014909614319,2.430014909614319,0.0,0.0,-1.0,-0.584962501,True,False
AT4G05000,Vacuolar protein sorting-associated protein VPS28 family protein;(source:Araport11),"VPS28-2:p, Vacuolar protein sorting-associated protein 28 homolog ...",1,HS,False,True,False,False,0.4188430488620486,2.4281212583878347,2.4281212583878347,0.0,0.0,1.95419631,2.313157885,True,False
AT5G09830,Encodes a cytosolic BolA protein. Plays a repressive role in the tolerance against excess iron and methyl viologen-induced oxidative stress.,"AT5G09830:p, Protein BOLA2",1,HS,False,True,False,False,-0.47903588563109745,2.422387086280938,2.422387086280938,0.584962501,0.0,0.0,0.0,True,False
AT3G11930,Adenine nucleotide alpha hydrolases-like superfamily protein;(source:Araport11),"AT3G11930:p, AT3G11930 protein",1,both,True,True,False,False,2.211639377290528,2.4154784747382694,2.4154784747382694,0.502500341,0.736965594,1.321928095,-0.169925001,True,False
