feature,mean_abs_shap,rank
di_CG,0.19874964542658005,1
utr3_au_content,0.18768026892618334,2
mrna_length,0.18272719598176898,3
packing_density,0.1667695824805818,4
di_UA,0.16190493811793766,5
rrach_count,0.13814631045582104,6
di_UG,0.13133167209524538,7
fU,0.1209630906774737,8
cds_length,0.10229060813262396,9
mfe,0.09659469161642174,10
n_residues,0.09283566194663809,11
utr3_length,0.09243014550446631,12
di_GU,0.08130752132093842,13
rmsf_std,0.07275165837057644,14
rmsf_cterm50,0.0711625233966797,15
rmsf_nterm50,0.06638541447545482,16
di_CA,0.06583367650664548,17
n_stemloops_per_kb,0.059744288884678254,18
di_GC,0.05613076129517934,19
fG,0.04921794942088449,20
di_UU,0.049192876560402644,21
di_AG,0.047611730968376315,22
di_CU,0.047547489593286,23
utr5_fraction,0.04576304342427018,24
max_disorder_window,0.043941353874483904,25
mean_disorder,0.043724205447442745,26
rmsf_max,0.042755898675340596,27
utr5_length,0.0426866977638806,28
fC,0.040868505807657475,29
di_GA,0.03959241065478078,30
rg_mean,0.035137388593872484,31
contact_density,0.034253588615722114,32
cds_fraction,0.029701064742976447,33
frac_paired,0.028935218833899927,34
di_AU,0.027245155345983697,35
rrach_per_kb,0.02688744292174566,36
di_GG,0.026597410594742563,37
sasa_per_residue,0.023818399003539246,38
rmsf_mean,0.02241761501852951,39
utr3_fraction,0.021765078693916397,40
di_AA,0.02132998900103761,41
di_CC,0.021214068683310244,42
rg_cv,0.0203047911115592,43
idr_percent,0.020195760357112576,44
pass_rate,0.018823711717758634,45
aaach_per_kb,0.018396288415560288,46
rg_std,0.016839999721149315,47
au_content,0.016467333423845536,48
di_UC,0.015900975869882313,49
longest_idr_region,0.015396983257136084,50
gc_content,0.01524631886459493,51
aaach_count,0.015198387319218515,52
mfe_per_nt,0.0150114854698113,53
di_AC,0.013316176852126669,54
n_idr_regions,0.01220076341504542,55
n_stemloops,0.011098091490907546,56
fA,0.01030457629664532,57
long_3utr,0.0,58
ptc_proxy,0.0,59
has_bioemu,0.0,60
