feature,mean_abs_shap,rank
mrna_length,0.1804589311456053,1
packing_density,0.17805849540963295,2
di_CG,0.1634801104602177,3
rrach_count,0.15900780976518292,4
fU,0.136166927315084,5
mfe,0.13420521632309557,6
di_UA,0.12209722496746842,7
cds_length,0.1148658897439206,8
di_UG,0.09671149134173741,9
utr3_au_content,0.08871195029139035,10
utr3_length,0.06883387359610957,11
di_CU,0.06548807722705494,12
n_stemloops_per_kb,0.06543211413983373,13
rmsf_nterm50,0.06505464727013585,14
fG,0.06462829658803025,15
di_AG,0.06377042963769759,16
rmsf_cterm50,0.06321082267947772,17
mean_disorder,0.05978980571085643,18
contact_density,0.05903696667106618,19
di_GC,0.05880987361170798,20
di_UU,0.0565836055749529,21
utr5_fraction,0.05007605930449714,22
sasa_per_residue,0.049992470810269446,23
di_GU,0.047261540253339826,24
rg_mean,0.04604241769909839,25
fC,0.043888674702970594,26
max_disorder_window,0.04194297979787646,27
rmsf_std,0.04058519540154763,28
utr5_length,0.03969467826015911,29
di_CA,0.037801718852799815,30
n_idr_regions,0.03773619681174115,31
n_residues,0.03615821984285607,32
rrach_per_kb,0.034868175321180826,33
rg_std,0.03477142975828911,34
cds_fraction,0.03430816445006078,35
rmsf_mean,0.03346953868034974,36
di_AA,0.03106215266642359,37
aaach_per_kb,0.029538495729823634,38
di_GA,0.027951064484193516,39
rmsf_max,0.025962628043916396,40
frac_paired,0.025164524581419066,41
n_stemloops,0.023990535775459225,42
di_GG,0.022663482151170207,43
di_CC,0.019280294050629036,44
mfe_per_nt,0.01718417027150512,45
fA,0.01689058074613959,46
idr_percent,0.016685179943180292,47
pass_rate,0.016185091443353606,48
di_AU,0.015592026979486365,49
longest_idr_region,0.013891584534679095,50
au_content,0.012589134251114216,51
utr3_fraction,0.012263765256471994,52
di_AC,0.010739365547127514,53
rg_cv,0.009433371347415022,54
di_UC,0.008174309133692388,55
aaach_count,0.00649143324529837,56
gc_content,0.0026948908462594698,57
long_3utr,0.0,58
ptc_proxy,0.0,59
has_bioemu,0.0,60
