feature,mean_abs_shap,rank
mrna_length,0.021518440844123837,1
cds_length,0.02032287264242123,2
di_CG,0.01858892410986629,3
rrach_count,0.017406306549107964,4
mfe,0.01657056808136322,5
di_UA,0.014009899470113297,6
utr3_au_content,0.013819504598178378,7
di_UG,0.013356233181212351,8
n_residues,0.010693725636501675,9
cds_fraction,0.010017756433476485,10
utr3_length,0.00896442749167333,11
rmsf_nterm50,0.008667190711423273,12
rmsf_std,0.00860679214278651,13
n_stemloops,0.008561257219853334,14
rmsf_nterm_cterm_ratio,0.008429520838344393,15
utr3_au_x_length,0.008254108060796204,16
utr5_length,0.008042216686866829,17
utr5_fraction,0.007925488408376473,18
rmsf_max,0.007711220263067112,19
fG,0.0074897219975110394,20
fU,0.007212300339270017,21
packing_density,0.006887850487565652,22
di_CA,0.006737767914807859,23
di_CU,0.006166326552927226,24
di_AG,0.005939008345116433,25
di_UU,0.005915077952355356,26
au_content,0.0057819462523047895,27
mfe_per_nt,0.005678312314242821,28
gc_content,0.005465768344796083,29
mean_disorder,0.005406345695946597,30
aaach_count,0.005132869234664871,31
di_GG,0.0050209550509353875,32
max_disorder_window,0.0049082002448553735,33
rmsf_cterm50,0.0048905475482775955,34
rmsf_mean,0.004844803704279007,35
di_GU,0.004692023912603335,36
rrach_per_cds_kb,0.004644346733751441,37
di_GC,0.004602429075505112,38
rg_mean,0.004553966044324312,39
n_stemloops_per_kb,0.00449018860751862,40
sasa_per_residue,0.00432923723634547,41
di_GA,0.004225466022319585,42
rrach_per_kb,0.003758335010656464,43
longest_idr_region,0.0036936094049500436,44
di_AU,0.0036756059741318774,45
fC,0.0036451766739057515,46
contact_density,0.003533593876712694,47
utr3_fraction,0.003486909851094666,48
rg_cv,0.0033910084993539176,49
frac_paired,0.003263856578294595,50
rg_std,0.003255704770803019,51
di_AA,0.0031565101143415913,52
aaach_per_kb,0.002972355472076655,53
pass_rate,0.002935218213018292,54
packing_x_idr,0.0029338248184673996,55
di_CC,0.0028241759408547365,56
idr_percent,0.002687339055080115,57
n_idr_regions,0.0023252056528431818,58
di_UC,0.0021079421220099896,59
fA,0.0020508888343223493,60
di_AC,0.0019269606950884739,61
long_3utr,0.00011954863149442544,62
ptc_proxy,0.0,63
