feature,mean_abs_shap,rank
mrna_length,0.15403049220310844,1
di_CG,0.12787831789225806,2
di_UG,0.12567185346295162,3
rrach_count,0.1254294673574679,4
utr3_au_content,0.12429163773573593,5
di_UA,0.10517460194002828,6
packing_density,0.10452749727876076,7
cds_length,0.09887095863042193,8
fU,0.07415846347634475,9
rmsf_nterm_cterm_ratio,0.0703823337776642,10
n_residues,0.07023199254681531,11
mfe,0.058195652735821314,12
rmsf_nterm50,0.05501079691151041,13
rmsf_max,0.045229971921286964,14
fG,0.04274189469223546,15
di_UU,0.0424750862974489,16
di_CA,0.04208591339039899,17
utr3_au_x_length,0.041785338626036284,18
n_stemloops_per_kb,0.04017858732117815,19
rmsf_std,0.03782831233141,20
utr5_length,0.03717019285870497,21
utr3_length,0.0339741705478801,22
rmsf_mean,0.033189476636881536,23
max_disorder_window,0.033047128134086896,24
di_GU,0.03247453106212002,25
mean_disorder,0.03226955207377565,26
di_GC,0.029952314772411563,27
sasa_per_residue,0.027291838775395,28
di_AG,0.025823134115350685,29
utr5_fraction,0.025650089487333567,30
di_GG,0.02558775079791934,31
di_CU,0.025416747365114668,32
aaach_per_kb,0.020978498017278937,33
au_content,0.020642332378576565,34
frac_paired,0.01990528958647192,35
rg_cv,0.01963787494126688,36
cds_fraction,0.019112142689218733,37
rmsf_cterm50,0.018903719337310502,38
rg_mean,0.017720083051676647,39
rrach_per_cds_kb,0.017453136515383032,40
rrach_per_kb,0.017367399459259664,41
di_CC,0.01678929585337536,42
packing_x_idr,0.016403736661101218,43
contact_density,0.016212404529968152,44
di_AA,0.015375262579405632,45
idr_percent,0.014591170840334731,46
di_GA,0.014383905689095993,47
di_AC,0.014037884413304084,48
utr3_fraction,0.013794827574616333,49
di_UC,0.013457801916822082,50
di_AU,0.012975973066363672,51
pass_rate,0.012553486557447311,52
aaach_count,0.012330505847822049,53
rg_std,0.011939475773609959,54
n_stemloops,0.010194140703969522,55
fC,0.010156950743630865,56
longest_idr_region,0.008614299589326246,57
mfe_per_nt,0.00840661618858821,58
n_idr_regions,0.007916908338721756,59
fA,0.006122342649449229,60
gc_content,0.0060340131320719345,61
ptc_proxy,0.0,62
long_3utr,0.0,63
