feature,mean_abs_shap,rank
rrach_count,0.16341054366028174,1
mrna_length,0.15725265362210175,2
di_CG,0.1489381238569064,3
packing_density,0.106084387945412,4
mfe,0.09937122200827916,5
di_UA,0.09800581317093167,6
cds_length,0.09398909643891083,7
utr3_au_content,0.07575137884904629,8
rmsf_nterm_cterm_ratio,0.07330629405398725,9
fG,0.0688538023374732,10
fU,0.058919784814555676,11
sasa_per_residue,0.05692392806546154,12
rmsf_nterm50,0.04747479883222217,13
di_GC,0.04643631345126442,14
di_UG,0.04561664678082717,15
n_stemloops_per_kb,0.04487904004453393,16
di_CU,0.04331712736555193,17
n_residues,0.0422409984219416,18
di_AG,0.04190709997073829,19
utr3_length,0.04168814011214242,20
di_UU,0.03674116525516269,21
utr5_length,0.03485587997284079,22
utr5_fraction,0.033506680299095676,23
contact_density,0.031018921479932612,24
utr3_au_x_length,0.030701136514863614,25
rmsf_mean,0.030508526908325357,26
rg_mean,0.0290531139459678,27
au_content,0.027463161586908723,28
di_GU,0.026879705533309907,29
rmsf_max,0.025685235207760317,30
rmsf_cterm50,0.025136750328122674,31
di_GA,0.0247168492785672,32
frac_paired,0.02383095005883799,33
rmsf_std,0.02288625565066873,34
mean_disorder,0.022495328119422366,35
max_disorder_window,0.022375413589513643,36
rrach_per_cds_kb,0.022332884542869164,37
di_AU,0.02146958481056446,38
n_stemloops,0.020665298637942257,39
mfe_per_nt,0.020271583352653742,40
di_GG,0.019602773028596192,41
di_CC,0.018488078068663493,42
rg_cv,0.017830304094611605,43
longest_idr_region,0.01697041575244074,44
rg_std,0.016673203613504644,45
di_AA,0.015867957673605125,46
aaach_per_kb,0.014630400426260551,47
pass_rate,0.01447295642959032,48
fC,0.014054887740964,49
di_CA,0.013496433313675624,50
rrach_per_kb,0.013376277555255865,51
fA,0.013140462306919311,52
idr_percent,0.012657933701569217,53
gc_content,0.012252578579236418,54
packing_x_idr,0.012030074442937001,55
di_UC,0.011278511651358947,56
cds_fraction,0.009787716441800506,57
di_AC,0.009510856983115892,58
utr3_fraction,0.008344519764149252,59
n_idr_regions,0.006974100734161694,60
aaach_count,0.004038812762103932,61
ptc_proxy,0.0,62
long_3utr,0.0,63
