feature,mean_abs_shap,rank
cds_length,0.02086314379474842,1
mrna_length,0.0197235597941119,2
rrach_count,0.019417172966835893,3
di_CG,0.018627310472912804,4
mfe,0.016421233221771817,5
di_UA,0.01615151085679074,6
utr3_au_content,0.014467843534874947,7
di_UG,0.014010852270232483,8
n_residues,0.011938867480992429,9
cds_fraction,0.010342455303256571,10
utr5_length,0.00965696180842246,11
utr3_au_x_length,0.009388184944942016,12
utr5_fraction,0.009335331485591339,13
utr3_length,0.00915940296362484,14
rmsf_std,0.008928583781011823,15
rmsf_nterm_cterm_ratio,0.008750961206133405,16
rmsf_max,0.00800079230211761,17
rmsf_nterm50,0.007929032482067356,18
fU,0.00749401300003073,19
fG,0.006962275946311911,20
n_stemloops,0.006919836258278719,21
di_CA,0.00676970085791729,22
au_content,0.0061854666834880055,23
packing_density,0.00613988314777806,24
di_CU,0.005935943325770607,25
gc_content,0.005751123157616632,26
di_GG,0.005714420252618816,27
aaach_count,0.005627462701567242,28
mean_disorder,0.005614074169438094,29
di_UU,0.0055576645377836634,30
mfe_per_nt,0.005519793940628366,31
di_AG,0.005376589131956569,32
rmsf_mean,0.005160438631327802,33
max_disorder_window,0.005123635822902993,34
rmsf_cterm50,0.005001861515131818,35
n_stemloops_per_kb,0.004946879440728579,36
rg_mean,0.004802036088100113,37
sasa_per_residue,0.004700119870414079,38
di_GC,0.004692259472846942,39
di_GU,0.003985301215152161,40
rrach_per_kb,0.0038952428832117595,41
contact_density,0.0038705391034973037,42
idr_percent,0.0037870797761912693,43
rg_cv,0.0035828357859147247,44
longest_idr_region,0.0035596423751498023,45
di_AA,0.003526848637469347,46
di_GA,0.003462279680837241,47
di_AU,0.003356917945578619,48
rg_std,0.003247081540292722,49
utr3_fraction,0.003219940372360077,50
aaach_per_kb,0.0030546402321427702,51
frac_paired,0.0029704504443445858,52
di_CC,0.0028813300901330712,53
fC,0.002816108364630307,54
pass_rate,0.0028145978864519273,55
di_UC,0.002318926238154636,56
fA,0.002194159565091902,57
di_AC,0.0021125711840994975,58
n_idr_regions,0.00187340637697351,59
long_3utr,7.501253248669733e-05,60
ptc_proxy,0.0,61
