feature,mean_abs_shap,rank
mrna_length,0.022824493215847605,1
rrach_count,0.019728005803279935,2
cds_length,0.018584706453061064,3
mfe,0.01852817630791678,4
di_CG,0.01616171251038992,5
di_UA,0.01427861315161554,6
n_residues,0.011537054585663663,7
fU,0.010414728949105032,8
utr3_au_content,0.01039178938353729,9
utr3_length,0.010196652911452062,10
di_UG,0.009940249525119283,11
di_AG,0.009706110170416822,12
utr5_length,0.008983938510456854,13
fG,0.008452233200581822,14
rmsf_nterm50,0.008414220492255306,15
utr3_au_x_length,0.008030220913367542,16
rmsf_nterm_cterm_ratio,0.00786332630348971,17
di_CU,0.007594082662589423,18
gc_content,0.007588311772902569,19
au_content,0.00743845066324351,20
packing_density,0.007417494387082664,21
mfe_per_nt,0.007389721378846452,22
rmsf_max,0.007353605990488982,23
utr5_fraction,0.007353150966087119,24
n_stemloops,0.00717360331511658,25
di_UU,0.0069450948194762704,26
rmsf_std,0.006733979483616765,27
rg_mean,0.006141724113053888,28
cds_fraction,0.005857044481359494,29
sasa_per_residue,0.005566054504981963,30
di_CA,0.005371923666061056,31
di_AU,0.005349848000758464,32
rmsf_mean,0.005298511109096604,33
di_GC,0.00519696398916281,34
mean_disorder,0.00516855163776009,35
aaach_count,0.004616295748354654,36
frac_paired,0.004566658723948978,37
n_stemloops_per_kb,0.004504303997793199,38
rrach_per_kb,0.004471912289345855,39
max_disorder_window,0.0044472530865714045,40
rmsf_cterm50,0.004381026386928361,41
di_GA,0.004293056696081312,42
contact_density,0.0042743264039152495,43
pass_rate,0.003981217063746077,44
di_GG,0.003958525630225119,45
di_GU,0.0038491173868972967,46
rg_cv,0.0038479178213458288,47
rg_std,0.0037590235221302026,48
di_AA,0.0036658556351053047,49
fC,0.0034620585147366735,50
aaach_per_kb,0.003225352827540795,51
utr3_fraction,0.003130951360507202,52
di_CC,0.002981693428652424,53
longest_idr_region,0.0028223497334168906,54
idr_percent,0.0026599067128824498,55
di_AC,0.0023877862594373052,56
di_UC,0.002308119772202393,57
n_idr_regions,0.0020556756168993505,58
fA,0.0020089746916858962,59
long_3utr,3.181624353793024e-05,60
ptc_proxy,0.0,61
