rank,feature,mean_abs_shap,shap_pct,category
1,cds_length,0.0208631437947484,5.019,RNA-length
2,mrna_length,0.0197235597941119,4.745,RNA-length
3,rrach_count,0.0194171729668358,4.671,RNA-m6A
4,di_CG,0.0186273104729128,4.481,RNA-dinucleotide
5,mfe,0.0164212332217718,3.95,RNA-structure
6,di_UA,0.0161515108567907,3.885,RNA-dinucleotide
7,utr3_au_content,0.0144678435348749,3.48,RNA-structure
8,di_UG,0.0140108522702324,3.37,RNA-dinucleotide
9,n_residues,0.0119388674809924,2.872,Protein-static
10,cds_fraction,0.0103424553032565,2.488,RNA-length
11,utr5_length,0.0096569618084224,2.323,RNA-length
12,utr3_au_x_length,0.009388184944942,2.258,Engineered
13,utr5_fraction,0.0093353314855913,2.246,RNA-length
14,utr3_length,0.0091594029636248,2.203,RNA-length
15,rmsf_std,0.0089285837810118,2.148,Protein-dynamic
16,rmsf_nterm_cterm_ratio,0.0087509612061334,2.105,Engineered
17,rmsf_max,0.0080007923021176,1.925,Protein-dynamic
18,rmsf_nterm50,0.0079290324820673,1.907,Protein-dynamic
19,fU,0.0074940130000307,1.803,RNA-composition
20,fG,0.0069622759463119,1.675,RNA-composition
21,n_stemloops,0.0069198362582787,1.665,RNA-structure
22,di_CA,0.0067697008579172,1.628,RNA-dinucleotide
23,au_content,0.006185466683488,1.488,RNA-composition
24,packing_density,0.006139883147778,1.477,Protein-dynamic
25,di_CU,0.0059359433257706,1.428,RNA-dinucleotide
26,gc_content,0.0057511231576166,1.383,Other
27,di_GG,0.0057144202526188,1.375,RNA-dinucleotide
28,aaach_count,0.0056274627015672,1.354,Other
29,mean_disorder,0.005614074169438,1.35,Other
30,di_UU,0.0055576645377836,1.337,RNA-dinucleotide
31,mfe_per_nt,0.0055197939406283,1.328,RNA-structure
32,di_AG,0.0053765891319565,1.293,RNA-dinucleotide
33,rmsf_mean,0.0051604386313278,1.241,Protein-dynamic
34,max_disorder_window,0.0051236358229029,1.232,Other
35,rmsf_cterm50,0.0050018615151318,1.203,Protein-dynamic
36,n_stemloops_per_kb,0.0049468794407285,1.19,RNA-structure
37,rg_mean,0.0048020360881001,1.155,Protein-dynamic
38,sasa_per_residue,0.004700119870414,1.131,Protein-dynamic
39,di_GC,0.0046922594728469,1.129,RNA-dinucleotide
40,di_GU,0.0039853012151521,0.959,RNA-dinucleotide
41,rrach_per_kb,0.0038952428832117,0.937,RNA-m6A
42,contact_density,0.0038705391034973,0.931,Protein-dynamic
43,idr_percent,0.0037870797761912,0.911,Protein-IDR
44,rg_cv,0.0035828357859147,0.862,Protein-dynamic
45,longest_idr_region,0.0035596423751498,0.856,Other
46,di_AA,0.0035268486374693,0.848,RNA-dinucleotide
47,di_GA,0.0034622796808372,0.833,RNA-dinucleotide
48,di_AU,0.0033569179455786,0.808,RNA-dinucleotide
49,rg_std,0.0032470815402927,0.781,Protein-dynamic
50,utr3_fraction,0.00321994037236,0.775,RNA-length
51,aaach_per_kb,0.0030546402321427,0.735,Other
52,frac_paired,0.0029704504443445,0.715,Other
53,di_CC,0.002881330090133,0.693,RNA-dinucleotide
54,fC,0.0028161083646303,0.677,RNA-composition
55,pass_rate,0.0028145978864519,0.677,Protein-dynamic
56,di_UC,0.0023189262381546,0.558,RNA-dinucleotide
57,fA,0.0021941595650919,0.528,RNA-composition
58,di_AC,0.0021125711840994,0.508,RNA-dinucleotide
59,n_idr_regions,0.0018734063769735,0.451,Other
60,long_3utr,7.501253248669733e-05,0.018,Other
61,ptc_proxy,0.0,0.0,Other
