gene_id,transcript_id,class,split,prob_pos,pred,utr3_au_content,rrach_count,rrach_per_kb,mrna_length,cds_length,utr3_length,idr_percent,rmsf_mean,rmsf_nterm50,rmsf_nterm_cterm_ratio,di_CG,di_UA,mfe_per_nt,confidence,class_label
AT1G01230,AT1G01230.1,0,val,0.40129,0,0.6753,11,12.55708,876,471,194,12.74,2.7136,4.7215,2.36976,0.03314,0.056,-0.24349,Low (<0.55),Not enriched
AT1G01300,AT1G01300.1,1,train,0.86917,1,0.6811,22,10.66925,2062,1455,323,18.97,12.9167,25.2926,3.30359,0.07181,0.05434,-0.27202,High (≥0.75),P-body enriched
AT1G01450,AT1G01450.1,0,train,0.24966,0,0.6064,18,12.73885,1413,1410,282,14.04,15.8863,16.6827,0.64741,0.02195,0.05524,-0.27785,Low (<0.55),Not enriched
AT1G01470,AT1G01470.1,0,train,0.25249,0,0.6519,26,19.28783,1348,453,770,0.0,3.0322,4.2761,1.42205,0.03563,0.06682,-0.22997,Low (<0.55),Not enriched
AT1G01510,AT1G01510.1,1,val,0.85803,1,0.6132,23,8.72203,2637,1908,636,29.87,22.5541,26.8777,1.31545,0.04666,0.05121,-0.29429,High (≥0.75),P-body enriched
AT1G01730,AT1G01730.1,0,train,0.29806,0,0.6562,14,11.69591,1197,672,317,75.45,27.507,35.5439,1.05695,0.03763,0.05184,-0.26433,Low (<0.55),Not enriched
AT1G01910,AT1G01910.2,1,val,0.87497,1,0.6621,29,16.45857,1762,1059,441,1.98,4.511,2.908,0.2881,0.03294,0.05622,-0.26044,High (≥0.75),P-body enriched
AT1G02100,AT1G02100.1,1,val,0.75104,1,0.5788,18,12.57862,1431,996,368,11.45,2.223,2.5578,0.45906,0.03147,0.04895,-0.27365,High (≥0.75),P-body enriched
AT1G02130,AT1G02130.1,0,test,0.63117,1,0.6403,18,16.21622,1110,609,367,18.23,5.6293,3.6805,0.30708,0.02435,0.0532,-0.24108,Medium (0.55–0.75),Not enriched
AT1G02500,AT1G02500.1,1,train,0.87192,1,0.704,31,17.73455,1748,1179,277,0.0,0.7348,0.5426,0.41678,0.02977,0.04465,-0.28072,High (≥0.75),P-body enriched
AT1G02816,AT1G02816.1,0,test,0.37203,0,0.6663,21,13.10861,1602,498,917,4.22,8.0521,10.2587,1.2012,0.0381,0.05934,-0.24569,Low (<0.55),Not enriched
AT1G02930,AT1G02930.1,1,test,0.71865,1,0.6764,16,13.49073,1186,624,275,0.0,1.0833,1.3155,1.43896,0.02278,0.05232,-0.23474,Medium (0.55–0.75),P-body enriched
AT1G03130,AT1G03130.1,1,val,0.4873,0,0.6878,20,20.9205,956,612,221,30.88,19.6195,28.8546,1.42879,0.03246,0.04817,-0.22354,Low (<0.55),P-body enriched
AT1G03330,AT1G03330.1,1,train,0.7289,1,0.6696,10,12.90323,775,279,227,0.0,3.8416,2.7723,0.56119,0.0168,0.06977,-0.22374,Medium (0.55–0.75),P-body enriched
AT1G03400,AT1G03400.2,1,train,0.81016,1,0.6393,19,13.55207,1402,1137,183,8.97,4.199,2.7642,0.25278,0.03283,0.04925,-0.27282,High (≥0.75),P-body enriched
AT1G03760,AT1G03760.1,1,val,0.66228,1,0.6779,22,15.91896,1382,1173,149,72.12,27.1371,17.9518,0.40445,0.03693,0.0449,-0.26541,Medium (0.55–0.75),P-body enriched
AT1G04010,AT1G04010.1,0,train,0.46368,0,0.683,38,14.23754,2669,1899,631,1.9,6.0343,19.6954,2.99682,0.02774,0.06034,-0.27602,Low (<0.55),Not enriched
AT1G04070,AT1G04070.1,0,train,0.15219,0,0.6667,5,7.24638,690,282,327,6.38,7.3366,8.2222,1.29944,0.0566,0.0566,-0.25783,Low (<0.55),Not enriched
AT1G04340,AT1G04340.1,0,train,0.23333,0,0.7,12,11.49425,1044,477,440,14.47,1.7746,1.8056,0.85254,0.02205,0.06232,-0.25115,Low (<0.55),Not enriched
AT1G04350,AT1G04350.1,1,train,0.85741,1,0.6298,40,19.36108,2066,1080,597,1.39,0.846,1.8633,1.31283,0.02906,0.05133,-0.24492,High (≥0.75),P-body enriched
AT1G04530,AT1G04530.1,1,train,0.84148,1,0.6821,18,11.81102,1524,930,280,25.81,25.5816,40.8305,1.335,0.02758,0.06106,-0.26719,High (≥0.75),P-body enriched
AT1G04870,AT1G04870.2,1,train,0.86517,1,0.7211,20,12.30012,1626,1149,251,8.88,4.0269,12.155,3.38778,0.02892,0.05231,-0.28487,High (≥0.75),P-body enriched
AT1G05210,AT1G05210.1,0,train,0.25924,0,0.702,7,9.09091,770,504,198,16.07,2.0263,1.5219,0.46583,0.03121,0.04551,-0.26636,Low (<0.55),Not enriched
AT1G05350,AT1G05350.1,1,train,0.92238,1,0.6854,26,13.59122,1913,1293,213,25.52,10.1975,11.9289,0.40628,0.02772,0.04812,-0.27146,High (≥0.75),P-body enriched
AT1G05410,AT1G05410.1,0,train,0.37181,0,0.7068,17,9.67008,1758,1413,133,22.29,21.6126,24.8108,1.22145,0.02846,0.05862,-0.29352,Low (<0.55),Not enriched
AT1G05680,AT1G05680.1,0,train,0.41921,0,0.7216,27,15.38462,1755,1359,194,1.32,0.9865,0.954,1.49272,0.03079,0.04903,-0.26114,Low (<0.55),Not enriched
AT1G05790,AT1G05790.3,0,train,0.49739,0,0.6875,43,16.44989,2614,2166,208,14.13,10.9861,10.8815,1.25552,0.03559,0.05128,-0.28673,Low (<0.55),Not enriched
AT1G05805,AT1G05805.1,1,train,0.86939,1,0.7068,28,15.59889,1795,1086,307,85.08,23.7319,37.5469,2.16487,0.04236,0.0602,-0.25142,High (≥0.75),P-body enriched
AT1G06030,AT1G06030.1,0,train,0.27329,0,0.698,15,12.33553,1216,987,149,0.0,1.136,2.3445,1.7341,0.04938,0.03539,-0.28076,Low (<0.55),Not enriched
AT1G06160,AT1G06160.1,0,train,0.23425,0,0.684,12,11.04972,1086,732,212,45.08,24.1165,29.2252,0.82766,0.03502,0.05714,-0.26805,Low (<0.55),Not enriched
AT1G06210,AT1G06210.1,1,val,0.86526,1,0.6335,27,17.04545,1584,1149,251,59.53,22.621,24.2388,0.57007,0.02464,0.04422,-0.26591,High (≥0.75),P-body enriched
AT1G06420,AT1G06420.1,0,train,0.24011,0,0.6507,17,14.78261,1150,663,375,99.1,30.1495,28.4649,0.80564,0.01828,0.05396,-0.22826,Low (<0.55),Not enriched
