geneID,transcript_id,class,condition,qc_fail,mrna_length,fA,fU,fG,fC,au_content,gc_content,di_AA,di_AU,di_AG,di_AC,di_UA,di_UU,di_UG,di_UC,di_GA,di_GU,di_GG,di_GC,di_CA,di_CU,di_CG,di_CC,utr5_length,utr3_length,cds_length,utr5_fraction,utr3_fraction,cds_fraction,utr3_au_content,rrach_count,rrach_per_kb,aaach_count,aaach_per_kb,mfe,mfe_per_nt,frac_paired,n_stemloops,n_stemloops_per_kb,long_3utr,ptc_proxy,bioemu_tier,bioemu_status,rmsf_mean,rmsf_std,rmsf_max,rmsf_nterm50,rmsf_cterm50,pass_rate,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,isoform_source,event_type,cluster_id,split,n_residues,rg_mean,rg_std,rg_cv,contact_density,packing_density,sasa_per_residue,feature_source
AT1G01230,AT1G01230.1,0,depleted,False,876,0.2876712328767123,0.3116438356164384,0.2031963470319634,0.1974885844748858,0.5993150684931506,0.4006849315068493,0.104,0.0811428571428571,0.048,0.0537142857142857,0.056,0.1085714285714285,0.0765714285714285,0.0708571428571428,0.064,0.0628571428571428,0.0457142857142857,0.0308571428571428,0.064,0.0594285714285714,0.0331428571428571,0.0411428571428571,208,194,471,0.2374429223744292,0.2214611872146118,0.5376712328767124,0.6753,11,12.557077625570775,3,3.424657534246576,-213.3,-0.2434931506849315,0.6324,11.0,12.557077625570775,0,0,2.0,completed,2.7136,3.028,21.05,4.7215,1.8924,0.96,12.74,0.3093,0.6985,2.0,19.0,canonical_fallback,,564.0,val,157.0,18.5338,0.8387,0.0453,9.1975,29.8116,27.4939,bioemu
AT1G01300,AT1G01300.1,1,NS,False,2062,0.2521823472356935,0.2900096993210475,0.1998060135790494,0.2580019398642095,0.542192046556741,0.457807953443259,0.0829694323144104,0.0645317806889859,0.0431829209121785,0.0616205725376031,0.054342552159146,0.0994662785055798,0.0417273168364871,0.0946142649199417,0.0655021834061135,0.0528869480834546,0.0431829209121785,0.0383309073265405,0.049490538573508,0.0727802037845705,0.0718098010674429,0.0635613779718583,281,323,1455,0.1362754607177497,0.1566440349175557,0.7056256062075654,0.6811,22,10.66925315227934,9,4.364694471387003,-560.9,-0.2720174587778855,0.5635,40.0,19.398642095053347,0,0,2.0,completed,12.9167,8.7777,36.8298,25.2926,7.5561,0.42,18.97,0.267,0.7453,4.0,62.0,canonical_fallback,,710.0,train,485.0,28.8502,4.6588,0.1615,10.1938,28.767,21.5659,bioemu
AT1G01450,AT1G01450.1,0,depleted,False,1413,0.2993630573248407,0.2781316348195329,0.2370842179759377,0.1854210898796886,0.5774946921443737,0.4225053078556263,0.0956090651558073,0.0807365439093484,0.0821529745042493,0.0410764872521246,0.0552407932011331,0.0899433427762039,0.070113314447592,0.0630311614730878,0.0856940509915014,0.0474504249291784,0.0630311614730878,0.0403682719546742,0.0623229461756373,0.0601983002832861,0.0219546742209631,0.0410764872521246,0,282,1410,0.0,0.1995753715498938,0.9978768577494692,0.6064,18,12.738853503184712,8,5.661712668082095,-392.6,-0.2778485491861288,0.6384,21.0,14.8619957537155,0,0,2.0,completed,15.8863,7.5712,33.938,16.6827,25.6683,0.34,14.04,0.2519,0.6903,2.0,64.0,canonical_fallback,,810.0,train,470.0,29.6816,3.0902,0.1041,8.1489,26.656,23.5553,bioemu
AT1G01470,AT1G01470.1,0,depleted,False,1348,0.3152818991097922,0.2959940652818991,0.1913946587537092,0.1973293768545994,0.6112759643916914,0.3887240356083086,0.1180400890868596,0.0883444691907943,0.0527097253155159,0.0564216778025241,0.066815144766147,0.0994803266518188,0.0616184112843355,0.0682999257609502,0.0712694877505567,0.0534521158129175,0.0415738678544914,0.0252412769116555,0.058648849294729,0.0549368968077208,0.0356347438752783,0.0475129918337045,122,770,453,0.0905044510385756,0.5712166172106825,0.336053412462908,0.6519,26,19.287833827893174,15,11.12759643916914,-310.0,-0.2299703264094955,0.5772,22.0,16.32047477744807,0,0,1.0,not_run,,,,,,,0.0,0.1759,0.3217,0.0,0.0,canonical_fallback,,662.0,train,151.0,17.97886791738888,0.0,0.0,4.52317880794702,131.60264900662253,7.728476821192053,af2_static
AT1G01510,AT1G01510.1,1,HS,False,2637,0.2692453545695866,0.2779673871824042,0.2434584755403868,0.2093287827076222,0.5472127417519909,0.4527872582480091,0.0815629742033384,0.0656297420333839,0.0728376327769347,0.0493171471927162,0.0512139605462822,0.0789074355083459,0.0785280728376327,0.0690440060698027,0.0766312594840667,0.0709408194233687,0.0455235204855842,0.0504552352048558,0.0599393019726858,0.0622154779969651,0.0466616084977238,0.0405918057663125,90,636,1908,0.0341296928327645,0.2411831626848691,0.7235494880546075,0.6132,23,8.722032612817596,11,4.171406901782328,-776.04,-0.2942889647326507,0.6234,46.0,17.444065225635192,0,0,2.0,completed,22.5541,9.4497,51.1013,26.8777,20.3324,0.2,29.87,0.3833,0.9973,3.0,158.0,canonical_fallback,,987.0,val,636.0,43.4469,4.2002,0.0967,8.0157,25.3102,37.2966,bioemu
AT1G01730,AT1G01730.1,0,depleted,False,1197,0.2781954887218045,0.2823725981620718,0.2063492063492063,0.2330827067669172,0.5605680868838764,0.4394319131161236,0.0861204013377926,0.0660535117056856,0.0677257525083612,0.0585284280936454,0.0518394648829431,0.0894648829431438,0.0627090301003344,0.0785953177257525,0.0769230769230769,0.0434782608695652,0.0384615384615384,0.0476588628762541,0.0635451505016722,0.0827759197324414,0.0376254180602006,0.0484949832775919,205,317,672,0.1712614870509607,0.264828738512949,0.5614035087719298,0.6562,14,11.695906432748538,7,5.847953216374269,-316.4,-0.2643274853801169,0.5982,26.0,21.72096908939014,0,0,3.0,completed,27.507,8.7276,57.8618,35.5439,33.5286,0.15,75.45,0.7888,0.9967,2.0,96.0,canonical_fallback,,269.0,train,224.0,47.9978,7.3252,0.1526,6.0179,22.556,129.2422,bioemu
AT1G01910,AT1G01910.2,1,HS,False,1762,0.2854710556186152,0.2996594778660613,0.2258796821793416,0.1889897843359818,0.5851305334846765,0.4148694665153234,0.0908574673480976,0.0721181147075525,0.0681431005110732,0.0545144804088586,0.0562180579216354,0.1056218057921635,0.0749574105621805,0.0630323679727427,0.080068143100511,0.0533787620670073,0.0499716070414537,0.0420215786484951,0.0584894946053378,0.0681431005110732,0.0329358319136854,0.0295286768881317,259,441,1059,0.1469920544835414,0.2502837684449489,0.6010215664018161,0.6621,29,16.458569807037456,9,5.10783200908059,-458.9,-0.2604426787741203,0.6141,32.0,18.161180476730987,0,0,1.0,not_run,,,,,,,1.98,0.1879,0.4214,2.0,5.0,rmats_SE_overlap_4candidates,SE,1233.0,val,303.0,23.491994629118047,0.0,0.0,4.508250825082508,138.993399339934,7.828382838283828,af2_static
AT1G02100,AT1G02100.1,1,HS,False,1431,0.2753319357092942,0.2955974842767295,0.246680642907058,0.1823899371069182,0.5709294199860238,0.4290705800139762,0.086013986013986,0.0783216783216783,0.0671328671328671,0.044055944055944,0.0489510489510489,0.1006993006993007,0.0874125874125874,0.058041958041958,0.0846153846153846,0.0552447552447552,0.0608391608391608,0.0461538461538461,0.0559440559440559,0.0615384615384615,0.0314685314685314,0.0335664335664335,64,368,996,0.0447239692522711,0.257162823200559,0.6960167714884696,0.5788,18,12.578616352201257,7,4.891684136967156,-391.6,-0.273654786862334,0.6611,24.0,16.771488469601678,0,0,2.0,completed,2.223,3.2611,27.3741,2.5578,5.4718,0.88,11.45,0.2145,0.6842,2.0,20.0,rmats_A5SS_overlap_3candidates,A5SS,1047.0,val,332.0,19.4906,0.3732,0.0191,9.3313,29.0165,14.3788,bioemu
AT1G02130,AT1G02130.1,0,depleted,False,1110,0.2846846846846846,0.309009009009009,0.1927927927927928,0.2135135135135135,0.5936936936936937,0.4063063063063063,0.0946798917944093,0.078449053201082,0.0568079350766456,0.0550045085662759,0.0532010820559062,0.1064021641118124,0.0721370604147881,0.0766456266907123,0.0685302073940486,0.0441839495040577,0.0396753832281334,0.0405770964833183,0.0685302073940486,0.0802524797114517,0.0243462578899909,0.0405770964833183,131,367,609,0.118018018018018,0.3306306306306306,0.5486486486486486,0.6403,18,16.216216216216214,9,8.108108108108107,-267.6,-0.2410810810810811,0.6,18.0,16.216216216216214,0,0,2.0,completed,5.6293,5.7998,31.537,3.6805,11.8853,0.74,18.23,0.295,0.8105,1.0,37.0,canonical_fallback,,1.0,test,203.0,17.9697,1.6988,0.0945,9.3892,27.8363,19.9891,bioemu
AT1G02500,AT1G02500.1,1,HS,False,1748,0.2860411899313501,0.2625858123569794,0.2179633867276887,0.2334096109839817,0.5486270022883295,0.4513729977116705,0.0898683457355466,0.0595306239267315,0.0646823125357756,0.072123640526617,0.0446479679450486,0.0767029192902118,0.0767029192902118,0.0646823125357756,0.0749856897538637,0.0578133943903835,0.046937607326846,0.0383514596451059,0.0767029192902118,0.0681167716084716,0.0297653119633657,0.0583858042358328,289,277,1179,0.1653318077803203,0.1584668192219679,0.6744851258581236,0.704,31,17.734553775743706,12,6.864988558352403,-490.7,-0.280720823798627,0.5927,29.0,16.590389016018307,0,0,1.0,not_run,,,,,,,0.0,0.1784,0.3012,0.0,0.0,canonical_fallback,,68.0,train,393.0,21.90811171366139,0.0,0.0,5.363867684478372,153.77862595419847,7.7150127226463106,af2_static
