geneID,transcript_id,class,condition,qc_fail,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,protein_length,aiupred_status,bioemu_tier,bioemu_n_conf
AT1G01230,AT1G01230.1,0,depleted,False,12.74,0.3093,0.6985,2,19,157,computed,2,50
AT1G01300,AT1G01300.1,1,NS,False,18.97,0.267,0.7453,4,62,485,computed,2,50
AT1G01450,AT1G01450.1,0,depleted,False,14.04,0.2519,0.6903,2,64,470,computed,2,50
AT1G01470,AT1G01470.1,0,depleted,False,0.0,0.1759,0.3217,0,0,151,computed,1,0
AT1G01510,AT1G01510.1,1,HS,False,29.87,0.3833,0.9973,3,158,636,computed,2,50
AT1G01730,AT1G01730.1,0,depleted,False,75.45,0.7888,0.9967,2,96,224,computed,3,100
AT1G01910,AT1G01910.2,1,HS,False,1.98,0.1879,0.4214,2,5,353,computed,1,0
AT1G02100,AT1G02100.1,1,HS,False,11.45,0.2145,0.6842,2,20,332,computed,2,50
AT1G02130,AT1G02130.1,0,depleted,False,18.23,0.295,0.8105,1,37,203,computed,2,50
AT1G02500,AT1G02500.1,1,HS,False,0.0,0.1784,0.3012,0,0,393,computed,1,0
AT1G02816,AT1G02816.1,0,depleted,False,4.22,0.2067,0.4735,1,7,166,computed,1,0
AT1G02930,AT1G02930.1,1,NS,False,0.0,0.1615,0.2826,0,0,208,computed,1,0
AT1G03130,AT1G03130.1,1,HS,False,30.88,0.3929,0.6554,4,41,204,computed,3,100
AT1G03330,AT1G03330.1,1,NS,False,0.0,0.1623,0.2896,0,0,93,computed,1,0
AT1G03400,AT1G03400.2,1,NS,False,8.97,0.2655,0.5587,5,11,379,computed,1,0
AT1G03760,AT1G03760.1,1,NS,False,72.12,0.7294,0.9929,3,241,391,computed,3,100
AT1G04010,AT1G04010.1,0,depleted,False,1.9,0.1788,0.4357,3,6,633,computed,1,0
AT1G04070,AT1G04070.1,0,depleted,False,6.38,0.2487,0.4542,2,4,94,computed,1,0
AT1G04340,AT1G04340.1,0,depleted,False,14.47,0.3469,0.7213,2,22,159,computed,2,50
AT1G04350,AT1G04350.1,1,HS,False,1.39,0.1601,0.4467,1,5,360,computed,1,0
AT1G04530,AT1G04530.1,1,HS,False,25.81,0.3501,0.8795,8,44,310,computed,2,50
AT1G04870,AT1G04870.2,1,HS,False,8.88,0.2287,0.8263,2,27,383,computed,1,0
AT1G05210,AT1G05210.1,0,depleted,False,16.07,0.264,0.6452,2,23,168,computed,2,50
AT1G05350,AT1G05350.1,1,NS,False,25.52,0.3388,0.9416,1,110,431,computed,2,50
AT1G05410,AT1G05410.1,0,depleted,False,22.29,0.3402,0.8199,6,45,471,computed,2,50
AT1G05680,AT1G05680.1,0,depleted,False,1.32,0.2204,0.4558,1,6,453,computed,1,0
AT1G05790,AT1G05790.3,0,depleted,False,14.13,0.2834,0.9429,7,86,722,computed,2,50
AT1G05805,AT1G05805.1,1,HS,False,85.08,0.7299,0.95,6,261,362,computed,3,100
AT1G06030,AT1G06030.1,0,depleted,False,0.0,0.1551,0.3392,0,0,329,computed,1,0
AT1G06160,AT1G06160.1,0,depleted,False,45.08,0.4699,0.9161,2,94,244,computed,3,100
AT1G06210,AT1G06210.1,1,NS,False,59.53,0.5924,0.9978,12,96,383,computed,3,100
AT1G06420,AT1G06420.1,0,depleted,False,99.1,0.7717,0.8932,2,198,221,computed,3,100
AT1G06760,AT1G06760.1,1,HS,False,77.74,0.7669,0.9899,3,142,274,computed,3,100
AT1G07040,AT1G07040.1,0,depleted,False,2.96,0.2143,0.4986,2,10,371,computed,1,0
AT1G07190,AT1G07190.1,0,depleted,False,0.0,0.1662,0.1752,0,0,54,computed,1,0
AT1G07250,AT1G07250.1,1,HS,False,0.0,0.1651,0.2449,0,0,479,computed,1,0
AT1G07590,AT1G07590.1,0,depleted,False,2.43,0.1798,0.5305,1,13,534,computed,1,0
AT1G07610,AT1G07610.1,0,depleted,False,0.0,0.1457,0.1719,0,0,45,computed,1,0
AT1G07620,AT1G07620.2,0,depleted,False,37.54,0.4441,0.9784,14,97,578,computed,3,100
AT1G07660,AT1G07660.1,1,NS,False,25.24,0.3331,0.8214,1,26,103,computed,2,50
AT1G07720,AT1G07720.2,0,depleted,False,1.73,0.1895,0.4279,3,3,521,computed,1,0
AT1G07960,AT1G07960.4,0,depleted,False,3.42,0.2082,0.3906,1,5,146,computed,1,0
AT1G08180,AT1G08180.1,0,depleted,False,100.0,0.8804,0.9841,1,111,111,computed,3,100
AT1G08250,AT1G08250.1,1,HS,False,31.72,0.35,0.8663,4,94,413,computed,3,100
AT1G08370,AT1G08370.1,1,both,False,64.58,0.6419,0.9863,2,228,367,computed,3,100
AT1G08380,AT1G08380.1,1,HS,False,7.14,0.2322,0.5102,2,9,140,computed,1,0
AT1G08570,AT1G08570.1,1,NS,False,19.64,0.2914,0.9051,2,42,275,computed,2,50
AT1G09160,AT1G09160.1,1,NS,False,3.27,0.1987,0.6008,1,14,428,computed,1,0
AT1G09310,AT1G09310.1,1,HS,False,35.2,0.3725,0.8396,2,58,179,computed,3,100
AT1G09490,AT1G09490.1,0,depleted,False,0.0,0.1536,0.2987,0,0,322,computed,1,0
AT1G09590,AT1G09590.1,1,HS,False,39.63,0.4059,0.7917,3,59,164,computed,3,100
AT1G09795,AT1G09795.1,1,HS,False,5.08,0.2016,0.6439,1,21,413,computed,1,0
AT1G09950,AT1G09950.1,0,depleted,False,1.74,0.2268,0.4045,1,4,230,computed,1,0
AT1G10390,AT1G10390.1,0,depleted,False,83.96,0.8191,0.9941,8,678,1041,computed,3,100
AT1G10470,AT1G10470.1,0,depleted,False,40.15,0.4948,0.9956,2,99,259,computed,3,100
AT1G10500,AT1G10500.1,0,depleted,False,0.0,0.1745,0.2715,0,0,180,computed,1,0
AT1G10990,AT1G10990.2,0,depleted,False,87.5,0.7418,0.965,8,111,192,computed,3,100
AT1G11240,AT1G11240.1,1,NS,False,100.0,0.9865,0.9991,1,200,200,computed,3,100
AT1G11320,AT1G11320.1,0,depleted,False,11.56,0.2877,0.6736,6,33,424,computed,2,50
AT1G11530,AT1G11530.1,1,HS,False,2.54,0.2326,0.3978,1,3,118,computed,1,0
AT1G11580,AT1G11580.2,1,HS,False,6.23,0.2025,0.7082,6,25,578,computed,1,0
AT1G11670,AT1G11670.1,0,depleted,False,9.74,0.2525,0.8086,3,31,503,computed,1,0
AT1G11800,AT1G11800.1,1,HS,False,0.0,0.1632,0.3175,0,0,441,computed,1,0
AT1G11870,AT1G11870.2,0,depleted,False,18.48,0.2918,0.7826,3,80,514,computed,2,50
AT1G12050,AT1G12050.1,1,HS,False,3.8,0.204,0.557,2,14,421,computed,1,0
AT1G12200,AT1G12200.2,1,both,False,7.85,0.2766,0.5917,8,11,382,computed,1,0
AT1G12350,AT1G12350.2,1,NS,False,0.0,0.1722,0.3408,0,0,317,computed,1,0
AT1G12400,AT1G12400.3,0,depleted,False,2.6,0.2778,0.3611,1,2,77,computed,1,0
AT1G12800,AT1G12800.1,1,HS,False,38.98,0.4735,0.9913,6,241,767,computed,3,100
AT1G12900,AT1G12900.5,1,HS,False,0.45,0.1559,0.3307,1,2,441,computed,1,0
AT1G12920,AT1G12920.1,1,HS,False,3.23,0.1986,0.5036,2,12,434,computed,1,0
AT1G13090,AT1G13090.1,1,HS,False,10.07,0.2255,0.8142,2,25,298,computed,2,50
AT1G13180,AT1G13180.1,1,HS,False,0.47,0.1603,0.3458,2,1,427,computed,1,0
AT1G13280,AT1G13280.1,1,HS,False,14.57,0.3198,0.7753,2,34,254,computed,2,50
AT1G13590,AT1G13590.1,0,depleted,False,81.61,0.6996,0.8663,2,61,87,computed,3,100
AT1G13690,AT1G13690.1,1,HS,False,38.98,0.4989,0.9785,3,59,177,computed,3,100
AT1G13930,AT1G13930.2,1,HS,False,100.0,0.938,0.9921,1,155,155,computed,3,100
AT1G13950,AT1G13950.1,0,depleted,False,14.56,0.2502,0.7004,1,23,158,computed,2,50
AT1G14150,AT1G14150.1,1,HS,False,1.58,0.1746,0.3536,2,2,190,computed,1,0
AT1G14310,AT1G14310.1,0,depleted,False,0.0,0.1526,0.1983,0,0,254,computed,1,0
AT1G14380,AT1G14380.1,1,HS,False,79.67,0.7896,0.9984,2,429,664,computed,3,100
AT1G14410,AT1G14410.1,1,both,False,16.35,0.2971,0.8086,3,31,263,computed,2,50
AT1G14820,AT1G14820.3,0,depleted,False,2.78,0.2378,0.4684,1,7,252,computed,1,0
AT1G15010,AT1G15010.1,0,depleted,False,3.52,0.2514,0.357,2,3,142,computed,1,0
AT1G15170,AT1G15170.1,0,depleted,False,7.07,0.2251,0.6893,3,27,481,computed,1,0
AT1G15290,AT1G15290.1,1,HS,False,33.83,0.3936,0.9773,23,137,1608,computed,3,100
AT1G15710,AT1G15710.1,1,HS,False,13.13,0.2476,0.8847,1,47,358,computed,2,50
AT1G15825,AT1G15825.1,0,depleted,False,100.0,0.9787,0.9918,1,126,126,computed,3,100
AT1G15840,AT1G15840.1,0,depleted,False,100.0,0.9853,1.0,1,126,126,computed,3,100
AT1G15880,AT1G15880.1,0,depleted,False,11.66,0.3383,0.5501,5,9,223,computed,2,50
AT1G15950,AT1G15950.1,1,HS,False,22.09,0.3062,0.9458,4,67,344,computed,2,50
AT1G16080,AT1G16080.1,1,HS,False,0.32,0.1653,0.359,1,1,313,computed,1,0
AT1G16220,AT1G16220.1,0,depleted,False,22.4,0.3256,0.8685,3,63,491,computed,2,50
AT1G16700,AT1G16700.1,1,HS,False,0.0,0.2013,0.3126,0,0,222,computed,1,0
AT1G16820,AT1G16820.1,0,depleted,False,0.0,0.1952,0.2956,0,0,93,computed,1,0
AT1G16916,AT1G16916.2,0,depleted,False,100.0,0.7504,0.8472,1,102,102,computed,3,100
AT1G17020,AT1G17020.1,0,depleted,False,0.0,0.1701,0.4015,0,0,358,computed,1,0
AT1G17210,AT1G17210.1,1,HS,False,66.18,0.6469,0.9843,16,383,958,computed,3,100
AT1G17410,AT1G17410.1,0,depleted,False,2.21,0.2094,0.3909,3,2,181,computed,1,0
AT1G17640,AT1G17640.1,0,depleted,False,46.88,0.4965,0.9794,4,66,369,computed,3,100
AT1G18030,AT1G18030.1,0,depleted,False,21.65,0.3304,0.961,2,73,351,computed,2,50
AT1G18170,AT1G18170.1,1,HS,False,38.06,0.3928,0.9532,2,74,247,computed,3,100
AT1G18190,AT1G18190.1,1,NS,False,73.5,0.7438,0.9993,8,421,668,computed,3,100
AT1G18200,AT1G18200.1,0,depleted,False,3.06,0.2302,0.4237,2,6,229,computed,1,0
AT1G18300,AT1G18300.1,0,depleted,False,0.48,0.1795,0.3359,1,1,207,computed,1,0
AT1G18670,AT1G18670.2,1,HS,False,40.48,0.458,0.9932,6,227,662,computed,3,100
AT1G19210,AT1G19210.1,0,depleted,False,44.32,0.4501,0.7275,6,36,185,computed,3,100
AT1G19220,AT1G19220.1,1,HS,False,57.55,0.5625,0.9944,13,427,1086,computed,3,100
AT1G19240,AT1G19240.1,0,depleted,False,27.88,0.4696,0.5672,6,14,104,computed,2,50
AT1G19320,AT1G19320.1,0,depleted,False,0.0,0.1518,0.3367,0,0,247,computed,1,0
AT1G19370,AT1G19370.1,1,HS,False,26.28,0.3619,0.9812,3,143,605,computed,2,50
AT1G19570,AT1G19570.1,1,both,False,0.0,0.1425,0.2198,0,0,213,computed,1,0
AT1G19720,AT1G19720.1,1,HS,False,4.03,0.1693,0.6462,1,36,894,computed,1,0
AT1G19835,AT1G19835.3,1,both,False,67.92,0.614,0.9981,13,216,982,computed,3,100
AT1G19920,AT1G19920.1,1,HS,False,0.42,0.1854,0.3983,1,2,476,computed,1,0
AT1G20070,AT1G20070.1,1,HS,False,73.58,0.733,0.981,2,140,193,computed,3,100
AT1G20200,AT1G20200.1,1,HS,False,20.7,0.3028,0.9577,5,42,488,computed,2,50
AT1G20225,AT1G20225.1,0,depleted,False,0.86,0.1681,0.3268,1,2,233,computed,1,0
AT1G20810,AT1G20810.1,1,HS,False,46.55,0.5246,0.8788,7,87,232,computed,3,100
AT1G20830,AT1G20830.1,0,depleted,False,34.38,0.4601,0.9748,8,70,349,computed,3,100
AT1G21130,AT1G21130.1,1,HS,False,0.8,0.1863,0.3842,1,3,373,computed,1,0
AT1G21350,AT1G21350.5,1,HS,False,14.34,0.3107,0.5494,4,17,265,computed,2,50
AT1G21370,AT1G21370.1,1,NS,False,11.7,0.2782,0.7788,3,31,342,computed,2,50
AT1G21440,AT1G21440.1,1,both,False,0.89,0.1946,0.4433,2,2,336,computed,1,0
AT1G22140,AT1G22140.3,0,depleted,False,70.83,0.5758,0.7351,3,29,72,computed,3,100
AT1G22280,AT1G22280.3,1,HS,False,23.34,0.3228,0.7394,5,39,287,computed,2,50
AT1G22470,AT1G22470.1,0,depleted,False,7.53,0.2353,0.502,4,5,146,computed,1,0
AT1G22920,AT1G22920.1,1,both,False,25.21,0.3364,0.8448,7,61,357,computed,2,50
AT1G22940,AT1G22940.1,1,NS,False,2.68,0.1762,0.5442,2,12,522,computed,1,0
AT1G23130,AT1G23130.1,0,depleted,False,7.5,0.2026,0.5327,1,12,160,computed,1,0
AT1G23740,AT1G23740.1,1,HS,False,0.0,0.1488,0.2419,0,0,386,computed,1,0
AT1G23800,AT1G23800.2,1,HS,False,0.0,0.1872,0.3477,0,0,408,computed,1,0
AT1G24100,AT1G24100.1,1,both,False,0.0,0.1762,0.3631,0,0,460,computed,1,0
AT1G24490,AT1G24490.1,1,HS,False,32.06,0.4242,0.9957,2,154,499,computed,3,100
AT1G25220,AT1G25220.2,1,NS,False,0.69,0.2329,0.4462,1,2,289,computed,1,0
AT1G26470,AT1G26470.1,0,depleted,False,37.59,0.4459,0.9299,3,46,133,computed,3,100
AT1G26550,AT1G26550.1,1,HS,False,37.32,0.5113,0.9323,5,35,142,computed,3,100
AT1G26640,AT1G26640.1,0,depleted,False,0.0,0.1636,0.235,0,0,332,computed,1,0
AT1G26670,AT1G26670.1,1,HS,False,34.68,0.4055,0.6468,8,26,222,computed,3,100
AT1G26770,AT1G26770.2,1,HS,False,0.0,0.1561,0.2429,0,0,259,computed,1,0
AT1G27060,AT1G27060.1,0,depleted,False,10.1,0.2585,0.8403,4,30,386,computed,2,50
AT1G27130,AT1G27130.1,1,HS,False,0.0,0.1412,0.1827,0,0,227,computed,1,0
AT1G27385,AT1G27385.4,1,NS,False,5.51,0.2447,0.5448,2,11,254,computed,1,0
AT1G27430,AT1G27430.1,1,HS,False,89.54,0.8415,0.9968,7,955,1492,computed,3,100
AT1G27730,AT1G27730.1,0,depleted,False,66.08,0.6101,0.88,5,130,227,computed,3,100
AT1G27900,AT1G27900.3,1,HS,False,4.07,0.1813,0.6552,2,21,540,computed,1,0
AT1G28135,AT1G28135.1,0,depleted,False,100.0,0.8698,0.9433,1,51,51,computed,3,100
AT1G28150,AT1G28150.2,0,depleted,False,21.95,0.3003,0.7487,1,27,123,computed,2,50
AT1G28230,AT1G28230.1,0,depleted,False,12.64,0.2869,0.597,6,15,356,computed,2,50
AT1G28290,AT1G28290.1,1,both,False,66.57,0.6706,0.9999,2,225,359,computed,3,100
AT1G28370,AT1G28370.2,0,depleted,False,14.22,0.2876,0.6104,5,13,204,computed,2,50
AT1G28380,AT1G28380.1,1,HS,False,7.52,0.2164,0.6407,5,21,612,computed,1,0
AT1G28480,AT1G28480.1,0,depleted,False,16.06,0.2829,0.5639,2,17,137,computed,2,50
AT1G28540,AT1G28540.1,0,depleted,False,100.0,0.823,0.951,1,103,103,computed,3,100
AT1G28570,AT1G28570.1,1,NS,False,1.03,0.1597,0.3594,1,4,389,computed,1,0
AT1G29090,AT1G29090.1,0,depleted,False,0.0,0.1558,0.2363,0,0,355,computed,1,0
AT1G29280,AT1G29280.1,0,depleted,False,74.13,0.7368,0.9895,2,190,259,computed,3,100
AT1G29400,AT1G29400.3,1,HS,False,60.25,0.5679,0.9807,19,211,800,computed,3,100
AT1G29465,AT1G29465.1,0,depleted,False,0.0,0.2784,0.333,0,0,36,computed,1,0
AT1G29850,AT1G29850.3,1,HS,False,47.83,0.5055,0.9891,1,66,138,computed,3,100
AT1G30110,AT1G30110.1,0,depleted,False,16.57,0.3053,0.5598,5,9,175,computed,2,50
AT1G30600,AT1G30600.1,1,NS,False,6.01,0.2107,0.6602,4,24,832,computed,1,0
AT1G30870,AT1G30870.1,0,depleted,False,4.01,0.1938,0.4488,2,9,349,computed,1,0
AT1G31160,AT1G31160.1,0,depleted,False,0.0,0.1444,0.2192,0,0,187,computed,1,0
AT1G31220,AT1G31220.1,1,NS,False,3.42,0.2071,0.4378,1,10,292,computed,1,0
AT1G31835,AT1G31835.2,0,depleted,False,49.37,0.5016,0.6804,4,23,79,computed,3,100
AT1G31970,AT1G31970.1,1,NS,False,21.79,0.3247,0.9987,3,105,537,computed,2,50
AT1G32130,AT1G32130.1,1,HS,False,81.67,0.7774,0.999,2,252,502,computed,3,100
AT1G32220,AT1G32220.1,1,HS,False,0.0,0.1431,0.2435,0,0,296,computed,1,0
AT1G32310,AT1G32310.1,0,depleted,False,65.0,0.64,0.8843,2,63,100,computed,3,100
AT1G32370,AT1G32370.2,0,depleted,False,33.59,0.4134,0.7724,3,34,131,computed,3,100
AT1G32440,AT1G32440.1,1,HS,False,0.0,0.1673,0.3076,0,0,571,computed,1,0
AT1G32550,AT1G32550.2,1,both,False,0.0,0.1526,0.2351,0,0,194,computed,1,0
AT1G33040,AT1G33040.1,0,depleted,False,92.34,0.7949,0.9901,5,90,209,computed,3,100
AT1G33050,AT1G33050.4,1,HS,False,39.54,0.4769,0.9516,22,131,693,computed,3,100
AT1G33265,AT1G33265.1,0,depleted,False,0.56,0.1983,0.3221,1,1,177,computed,1,0
AT1G33520,AT1G33520.1,1,HS,False,45.89,0.5015,0.9475,5,131,462,computed,3,100
AT1G33760,AT1G33760.1,0,depleted,False,54.35,0.4841,0.7871,5,46,184,computed,3,100
AT1G33810,AT1G33810.1,1,HS,False,47.83,0.5102,0.9318,3,64,138,computed,3,100
AT1G35140,AT1G35140.1,0,depleted,False,1.94,0.1712,0.4226,1,6,309,computed,1,0
AT1G35420,AT1G35420.2,1,HS,False,7.3,0.2568,0.6448,2,17,315,computed,1,0
AT1G35780,AT1G35780.2,1,HS,False,35.38,0.4896,0.7652,4,70,212,computed,3,100
AT1G36370,AT1G36370.1,1,HS,False,20.9,0.304,0.9071,1,125,598,computed,2,50
AT1G43710,AT1G43710.1,1,HS,False,15.56,0.2247,0.693,2,57,482,computed,2,50
AT1G43800,AT1G43800.1,0,depleted,False,3.84,0.2093,0.5238,5,7,391,computed,1,0
AT1G44790,AT1G44790.1,0,depleted,False,0.5,0.1976,0.3181,1,1,199,computed,1,0
AT1G45145,AT1G45145.1,1,HS,False,1.69,0.2016,0.3561,1,2,118,computed,1,0
AT1G45170,AT1G45170.1,0,depleted,False,0.0,0.1537,0.2422,0,0,213,computed,1,0
AT1G45230,AT1G45230.1,1,HS,False,32.42,0.4003,0.8858,4,58,219,computed,3,100
AT1G45474,AT1G45474.2,1,HS,False,0.0,0.2101,0.3758,0,0,256,computed,1,0
AT1G47200,AT1G47200.1,1,HS,False,61.67,0.6842,0.9841,4,65,180,computed,3,100
AT1G48320,AT1G48320.1,1,both,False,7.69,0.1866,0.5263,1,12,156,computed,1,0
AT1G48550,AT1G48550.1,0,depleted,False,0.0,0.1728,0.2722,0,0,327,computed,1,0
AT1G48600,AT1G48600.2,1,both,False,5.09,0.1956,0.6052,3,13,491,computed,1,0
AT1G48620,AT1G48620.1,1,HS,False,94.57,0.8769,0.9986,6,343,479,computed,3,100
AT1G48830,AT1G48830.1,1,HS,False,2.09,0.2064,0.4463,2,3,191,computed,1,0
AT1G49310,AT1G49310.1,0,depleted,False,19.51,0.3556,0.6284,1,16,82,computed,2,50
AT1G49405,AT1G49405.1,0,depleted,False,11.84,0.3044,0.7038,1,18,152,computed,2,50
AT1G49430,AT1G49430.1,1,HS,False,0.0,0.1605,0.3793,0,0,665,computed,1,0
AT1G49600,AT1G49600.3,1,HS,False,38.89,0.4974,0.998,6,119,450,computed,3,100
AT1G49650,AT1G49650.1,1,NS,False,0.0,0.1758,0.319,0,0,374,computed,1,0
AT1G49750,AT1G49750.1,1,both,False,36.64,0.4176,1.0,4,126,494,computed,3,100
AT1G49760,AT1G49760.1,1,HS,False,43.52,0.4932,0.9995,11,203,671,computed,3,100
AT1G50370,AT1G50370.1,1,both,False,3.63,0.1904,0.4865,1,11,303,computed,1,0
AT1G50430,AT1G50430.1,1,HS,False,5.09,0.2493,0.4842,4,8,432,computed,1,0
AT1G50450,AT1G50450.1,1,HS,False,0.0,0.1628,0.3506,0,0,428,computed,1,0
AT1G50900,AT1G50900.1,1,HS,False,0.0,0.18,0.2636,0,0,175,computed,1,0
AT1G51140,AT1G51140.1,0,depleted,False,81.0,0.7187,0.9812,3,267,379,computed,3,100
AT1G51680,AT1G51680.1,1,HS,False,5.88,0.2119,0.6806,2,20,561,computed,1,0
AT1G51760,AT1G51760.1,1,HS,False,1.14,0.1781,0.3607,2,4,440,computed,1,0
AT1G52220,AT1G52220.1,1,HS,False,8.33,0.3132,0.5358,1,13,156,computed,1,0
AT1G52340,AT1G52340.1,1,both,False,4.56,0.1617,0.5526,1,13,285,computed,1,0
AT1G52670,AT1G52670.1,1,HS,False,22.99,0.3179,0.7388,4,57,274,computed,2,50
AT1G52830,AT1G52830.1,0,depleted,False,2.65,0.2826,0.4352,3,2,189,computed,1,0
AT1G52905,AT1G52905.1,0,depleted,False,0.0,0.2048,0.2429,0,0,47,computed,1,0
AT1G53280,AT1G53280.1,1,NS,False,0.0,0.1515,0.2683,0,0,438,computed,1,0
AT1G53610,AT1G53610.1,0,depleted,False,32.98,0.3456,0.6541,2,23,94,computed,3,100
AT1G53970,AT1G53970.2,0,depleted,False,13.4,0.264,0.5853,1,13,97,computed,2,50
AT1G54120,AT1G54120.1,0,depleted,False,0.0,0.2006,0.3984,0,0,124,computed,1,0
AT1G54290,AT1G54290.1,1,both,False,17.7,0.2439,0.5372,3,11,113,computed,2,50
AT1G54575,AT1G54575.2,0,depleted,False,75.0,0.7473,0.9892,3,88,124,computed,3,100
AT1G54580,AT1G54580.1,1,HS,False,0.0,0.1369,0.1839,0,0,136,computed,1,0
AT1G55210,AT1G55210.1,1,NS,False,6.42,0.1818,0.5279,1,12,187,computed,1,0
AT1G55260,AT1G55260.1,0,depleted,False,22.03,0.3233,0.7511,4,27,227,computed,2,50
