geneID,transcript_id,class,condition,isoform_source,event_type,transcript_biotype,n_exons,strongest_rna_log2fc,mrna_len,protein_len,has_cds,short_protein,internal_stop,qc_pass,qc_flag
AT1G08370,AT1G08370.1,1,both,canonical_fallback,,protein_coding,8.0,5.283337073818592,1718,367,True,False,False,True,pass
AT5G23010,AT5G23010.3,1,both,rmats_RI_overlap,RI,protein_coding,9.0,3.008817346080978,1923,502,True,False,False,True,pass
AT5G14200,AT5G14200.3,1,both,rmats_RI_overlap,RI,protein_coding,8.0,2.827458633351148,1463,388,True,False,False,True,pass
AT3G58990,AT3G58990.1,1,NS,canonical_fallback,,protein_coding,1.0,2.817674656978357,1246,253,True,False,False,True,pass
AT1G12200,AT1G12200.2,1,both,rmats_RI_overlap,RI,protein_coding,6.0,2.793399688126006,1977,382,True,False,False,True,pass
AT1G09590,AT1G09590.1,1,HS,canonical_fallback,,protein_coding,2.0,2.756242890225576,872,164,True,False,False,True,pass
AT1G68660,AT1G68660.1,1,HS,rmats_RI_overlap,RI,protein_coding,3.0,2.6197698596464067,853,159,True,False,False,True,pass
AT3G11500,AT3G11500.2,1,HS,canonical_fallback,,protein_coding,4.0,2.6152977550310648,696,79,True,False,False,True,pass
AT2G47380,AT2G47380.2,1,HS,canonical_fallback,,protein_coding,2.0,2.574566947446946,740,64,True,False,False,True,pass
AT1G74090,AT1G74090.1,1,both,canonical_fallback,,protein_coding,1.0,2.528672199139109,1380,350,True,False,False,True,pass
AT5G04230,AT5G04230.2,1,both,canonical_fallback,,protein_coding,3.0,2.4767993152040075,2485,698,True,False,False,True,pass
AT4G12390,AT4G12390.1,1,NS,canonical_fallback,,protein_coding,1.0,2.4622948321590394,1851,206,True,False,False,True,pass
AT3G52040,AT3G52040.1,1,NS,canonical_fallback,,protein_coding,3.0,2.450940420361514,530,90,True,False,False,True,pass
AT1G11530,AT1G11530.1,1,HS,canonical_fallback,,protein_coding,3.0,2.442476318676428,652,118,True,False,False,True,pass
AT1G27130,AT1G27130.1,1,HS,canonical_fallback,,protein_coding,2.0,2.437200328479668,1286,227,True,False,False,True,pass
AT4G04614,AT4G04614.2,1,HS,canonical_fallback,,protein_coding,2.0,2.430014909614319,995,176,True,False,False,True,pass
AT4G05000,AT4G05000.3,1,HS,canonical_fallback,,protein_coding,2.0,2.4281212583878347,1466,210,True,False,False,True,pass
AT5G09830,AT5G09830.1,1,HS,canonical_fallback,,protein_coding,3.0,2.422387086280938,551,93,True,False,False,True,pass
